class,variant,n,median_kappa_ratio_base,min_ratio,max_ratio,improved
simple,Base,204,1.0,1.0,1.0,0
simple,Flat-GM,204,2.3671739216977932e-07,1.8698370312023577e-08,0.00168134421860588,204
simple,Flat-L2,204,1.5689918365767923,0.00032580986976481755,273.73762105784806,32
simple,Role-Hybrid,204,2.3671739216977932e-07,1.8698370312023577e-08,0.00168134421860588,204
simple,SA-Mat,204,2.3671739216977932e-07,1.8698370312023577e-08,0.00168134421860588,204
full,Base,34,1.0,1.0,1.0,0
full,Flat-GM,34,3.5417689913828563e-07,9.319547990307657e-09,3.0546337845066452e-06,34
full,Flat-L2,34,1.4913210476400163,0.8537146022908018,146.89909585431212,2
full,Role-Hybrid,34,3.5417689913828563e-07,9.319547990307657e-09,3.0546337845066452e-06,34
full,SA-Mat,34,3.5417689913828563e-07,9.319547990307657e-09,3.0546337845066452e-06,34
sgtm,Base,68,1.0,1.0,1.0,0
sgtm,Flat-GM,68,7.336841151670575e-09,1.5072353264439896e-09,0.012162173774867193,68
sgtm,Flat-L2,68,1.5108739896513208,0.0008138896962530548,18.605234006793804,10
sgtm,Role-Hybrid,68,7.336841151670575e-09,1.5072353264439896e-09,0.5675889452950487,68
sgtm,SA-Mat,68,7.336841151670575e-09,1.5072353264439896e-09,0.5675889452950487,68
